
real	0m8.215s
user	0m13.333s
sys	0m0.787s

real	0m8.177s
user	0m13.789s
sys	0m0.759s

real	0m8.230s
user	0m12.792s
sys	0m0.741s

real	0m7.912s
user	0m12.293s
sys	0m0.703s

real	0m8.370s
user	0m12.867s
sys	0m0.795s

real	0m8.095s
user	0m13.425s
sys	0m0.779s

real	0m8.043s
user	0m13.551s
sys	0m0.761s

real	0m7.946s
user	0m12.603s
sys	0m0.722s

real	0m8.522s
user	0m14.325s
sys	0m0.798s

real	0m8.390s
user	0m14.380s
sys	0m0.779s

real	0m8.046s
user	0m12.467s
sys	0m0.743s

real	0m8.419s
user	0m13.336s
sys	0m0.802s

real	0m8.249s
user	0m13.402s
sys	0m0.775s

real	0m8.018s
user	0m12.547s
sys	0m0.714s

real	0m8.070s
user	0m12.798s
sys	0m0.721s

real	0m8.306s
user	0m13.193s
sys	0m0.773s

real	0m8.183s
user	0m13.763s
sys	0m0.786s

real	0m8.243s
user	0m13.191s
sys	0m0.785s

real	0m8.205s
user	0m13.089s
sys	0m0.779s

real	0m8.219s
user	0m13.770s
sys	0m0.781s

real	0m8.110s
user	0m13.671s
sys	0m0.737s

real	0m8.156s
user	0m13.625s
sys	0m0.834s

real	0m8.374s
user	0m13.313s
sys	0m0.824s

real	0m8.285s
user	0m13.980s
sys	0m0.794s

real	0m8.568s
user	0m14.266s
sys	0m0.827s

real	0m8.142s
user	0m12.895s
sys	0m0.745s

real	0m8.206s
user	0m13.985s
sys	0m0.816s

real	0m8.484s
user	0m14.416s
sys	0m0.836s

real	0m8.368s
user	0m13.956s
sys	0m0.800s

real	0m7.806s
user	0m11.496s
sys	0m0.717s

real	0m7.991s
user	0m11.786s
sys	0m0.748s

real	0m8.677s
user	0m15.350s
sys	0m0.882s

real	0m8.159s
user	0m13.185s
sys	0m0.746s

real	0m8.281s
user	0m13.832s
sys	0m0.775s

real	0m8.135s
user	0m12.615s
sys	0m0.735s

real	0m8.559s
user	0m14.081s
sys	0m0.824s

real	0m8.256s
user	0m13.528s
sys	0m0.786s

real	0m9.060s
user	0m14.688s
sys	0m0.827s

real	0m9.370s
user	0m14.908s
sys	0m0.891s

real	0m8.441s
user	0m11.861s
sys	0m0.771s

real	0m8.329s
user	0m13.233s
sys	0m0.762s

real	0m9.155s
user	0m14.067s
sys	0m0.827s

real	0m9.719s
user	0m14.743s
sys	0m0.870s

real	0m9.331s
user	0m14.926s
sys	0m0.852s

real	0m9.954s
user	0m15.502s
sys	0m0.899s

real	0m8.712s
user	0m13.426s
sys	0m0.802s

real	0m10.936s
user	0m14.833s
sys	0m0.968s

real	0m10.642s
user	0m14.926s
sys	0m0.911s

real	0m10.548s
user	0m14.231s
sys	0m0.891s

real	0m9.056s
user	0m13.648s
sys	0m0.831s

real	0m10.594s
user	0m15.823s
sys	0m0.960s

real	0m10.321s
user	0m15.030s
sys	0m0.912s

real	0m9.541s
user	0m13.959s
sys	0m0.888s

real	0m10.721s
user	0m14.983s
sys	0m0.949s

real	0m12.005s
user	0m14.748s
sys	0m0.929s

real	0m10.062s
user	0m14.079s
sys	0m0.856s

real	0m10.123s
user	0m14.576s
sys	0m0.893s

real	0m8.563s
user	0m13.358s
sys	0m0.773s

real	0m8.747s
user	0m13.905s
sys	0m0.810s

real	0m8.582s
user	0m14.231s
sys	0m0.814s

real	0m8.418s
user	0m13.190s
sys	0m0.764s

real	0m8.406s
user	0m12.885s
sys	0m0.754s

real	0m9.184s
user	0m13.079s
sys	0m0.854s

real	0m9.540s
user	0m11.984s
sys	0m0.801s

real	0m9.917s
user	0m14.176s
sys	0m0.833s

real	0m8.436s
user	0m12.642s
sys	0m0.791s

real	0m8.618s
user	0m13.716s
sys	0m0.811s

real	0m9.295s
user	0m14.294s
sys	0m0.856s

real	0m9.649s
user	0m14.079s
sys	0m0.881s

real	0m8.677s
user	0m13.365s
sys	0m0.816s

real	0m8.577s
user	0m13.654s
sys	0m0.800s

real	0m8.427s
user	0m12.507s
sys	0m0.772s

real	0m0.314s
user	0m0.159s
sys	0m0.042s
