Time,CPU Usage
42243.961720,23.5
42243.961731,24.2
42243.961743,23.3
42243.961755,23.3
42243.961766,23.6
42243.961778,23.8
42243.961789,23.9
42243.961801,23.5
42243.961813,23.7
42243.961824,23.7
42243.961836,24.1
42243.961848,23.9
42243.961859,23.0
42243.961871,20.8
42243.961882,16.5
42243.961894,19.1
42243.961905,18.4
42243.961917,18.8
42243.961929,18.9
42243.961940,19.7
42243.961952,18.8
42243.961964,19.0
42243.961975,21.7
42243.961987,24.3
42243.961998,23.8
42243.962010,24.2
42243.962022,25.4
42243.962033,24.7
42243.962045,24.4
42243.962056,25.0
42243.962068,24.6
42243.962080,24.5
42243.962091,24.6
42243.962103,24.7
42243.962114,23.1
42243.962126,24.0
42243.962138,24.7
42243.962149,24.2
42243.962161,23.7
42243.962172,24.0
42243.962184,23.9
42243.962311,24.3
42243.962323,24.1
42243.962438,23.3
42243.962449,18.7
42243.962461,22.7
42243.962473,20.7
42243.962484,21.9
42243.962496,19.5
42243.962507,22.8
42243.962519,24.3
42243.962530,22.6
42243.962542,23.2
42243.962554,24.4
42243.962565,24.2
42243.962577,23.4
42243.962588,22.7
42243.962600,23.2
42243.962612,23.6
42243.962623,22.7
42243.962635,23.5
42243.962646,23.6
42243.962658,23.5
42243.962670,23.5
42243.962681,24.2
42243.962693,23.0
42243.962705,23.5
42243.962716,24.1
42243.962728,24.1
42243.962739,24.1
42243.962751,24.0
42243.962763,23.4
42243.962774,23.4
42243.962786,22.6
42243.962798,23.5
42243.962809,24.1
42243.962821,24.2
42243.962832,23.4
42243.962844,22.3
42243.962856,22.8
42243.962867,24.2
42243.962879,23.0
42243.962961,23.9
42243.962974,33.7
42243.963034,1.3
42243.963109,7.6
42243.963120,0.1
42243.963141,0.1
42243.963152,10.2
42243.963167,36.0
42243.963224,24.5
42243.963235,22.7
42243.963363,23.5
42243.963374,23.7
42243.963502,23.7
42243.963539,23.4
42243.963550,22.1
42243.963562,23.2
42243.963593,22.0
42243.963605,22.0
42243.963726,23.8
42243.963853,24.2
42243.963914,23.8
42243.964004,20.5
42243.964015,18.5
42243.964026,23.4
42243.964038,23.2
42243.964050,21.6
42243.964061,21.4
42243.964073,22.9
42243.964084,22.9
42243.964096,22.4
42243.964108,20.3
42243.964119,21.0
42243.964131,20.6
42243.964142,21.3
42243.964154,21.4
42243.964166,22.4
42243.964177,23.1
42243.964189,22.0
42243.964201,21.4
42243.964212,22.2
42243.964224,22.9
42243.964235,22.0
42243.964247,21.5
42243.964259,21.9
42243.964270,21.1
42243.964282,21.2
42243.964293,23.1
42243.964305,23.5
42243.964317,21.4
42243.964328,22.0
42243.964340,22.0
42243.964351,21.2
42243.964363,22.2
42243.964375,21.6
42243.964386,21.4
42243.964398,22.2
42243.964410,21.9
42243.964421,19.5
42243.964433,21.0
42243.964444,20.8
42243.964456,21.2
42243.964468,21.2
42243.964479,21.9
42243.964491,21.3
42243.964502,21.5
42243.964514,21.1
42243.964526,21.1
42243.964537,22.7
42243.964549,20.9
42243.964561,21.8
42243.964572,21.9
42243.964584,22.3
42243.964595,22.4
42243.964607,19.9
42243.964718,21.4
42243.964835,20.0
42243.964962,20.7
42243.965090,23.9
42243.965217,22.1
42243.965344,21.5
42243.965421,22.1
42243.965433,21.2
42243.965561,22.2
42243.965664,22.9
42243.965791,22.5
42243.965919,21.7
42243.966014,22.9
42243.966131,20.8
42243.966255,22.0
42243.966302,21.7
42243.966429,20.4
42243.966546,19.5
42243.966662,20.6
42243.966674,21.7
42243.966800,22.5
42243.966928,22.3
42243.967046,20.7
42243.967108,23.3
42243.967235,23.4
42243.967362,23.5
42243.967490,23.8
42243.967617,23.9
42243.967744,24.0
42243.967872,24.1
42243.967999,23.8
42243.968106,23.7
42243.968234,23.6
42243.968361,23.8
42243.968488,23.7
42243.968615,23.4
42243.968627,21.2
42243.968638,21.9
42243.968665,22.7
42243.968675,0.1
42243.968730,0.3
42243.968761,0.1
42243.968772,0.7
42243.968786,0.2
42243.968824,0.1
42243.968844,16.8
42243.968970,23.9
42243.969056,23.1
42243.969064,21.0
42243.969086,20.8
42243.969095,21.4
42243.969112,23.9
42243.969239,23.8
42243.969366,23.6
42243.969494,23.7
42243.969540,23.0
42243.969573,21.6
42243.969597,23.3
42243.969630,22.2
42243.969655,24.3
42243.969668,23.7
42243.969678,21.2
42243.969689,21.2
42243.969717,21.3
42243.969728,24.1
42243.969741,23.9
42243.969867,23.9
42243.969880,21.4
42243.969891,21.1
42243.969928,21.4
42243.969938,23.3
42243.970064,24.0
42243.970191,23.9
42243.970276,23.3
42243.970402,21.0
42243.970520,23.8
42243.970531,21.4
42243.970543,23.5
42243.970555,22.9
42243.970566,23.8
42243.970578,23.9
42243.970589,23.9
42243.970601,23.9
