Time,CPU Usage
42243.830270,9.7
42243.830282,0.7
42243.830294,0.8
42243.830305,2.1
42243.830317,0.5
42243.830328,1.0
42243.830340,7.2
42243.830351,57.0
42243.830363,45.1
42243.830375,31.6
42243.830386,35.7
42243.830398,26.7
42243.830410,39.2
42243.830422,23.1
42243.830433,0.8
42243.830444,0.8
42243.830456,0.4
42243.830468,13.3
42243.830479,9.0
42243.830491,0.3
42243.830502,0.3
42243.830514,5.0
42243.830525,0.3
42243.830538,1.1
42243.830549,1.6
42243.830560,25.3
42243.830572,28.8
42243.830583,24.2
42243.830595,25.5
42243.830607,25.8
42243.830618,16.0
42243.830630,0.5
42243.830641,1.9
42243.830653,0.3
42243.830664,0.6
42243.830676,0.3
42243.830688,0.3
42243.830699,0.2
42243.830711,10.2
42243.830722,0.6
42243.830734,0.3
42243.830746,0.3
42243.830757,14.2
42243.830769,40.9
42243.830781,27.9
42243.830792,38.1
42243.830804,24.1
42243.830815,14.6
42243.830827,0.2
42243.830838,2.4
42243.830850,0.2
42243.830862,0.6
42243.830873,0.2
42243.830885,0.1
42243.830896,0.3
42243.830908,0.7
42243.830920,0.1
42243.830931,0.2
42243.830943,0.4
42243.830954,21.0
42243.830966,26.8
42243.830978,26.6
42243.830989,25.3
42243.831001,27.5
42243.831012,8.1
42243.831024,0.1
42243.831036,0.2
42243.831047,0.9
42243.831059,0.2
42243.831070,0.1
42243.831082,0.1
42243.831094,0.3
42243.831105,0.3
42243.831117,0.1
42243.831129,0.2
42243.831140,9.3
42243.831152,25.2
42243.831163,27.0
42243.831175,25.3
42243.831186,27.3
42243.831198,6.4
42243.831210,0.2
42243.831221,0.1
42243.831233,0.2
42243.831244,1.1
42243.831256,0.1
42243.831268,0.7
42243.831279,0.4
42243.831291,1.3
42243.831303,0.5
42243.831314,4.2
42243.831326,0.2
42243.831337,19.7
42243.831349,24.6
42243.831361,27.1
42243.831372,37.0
42243.831384,14.9
42243.831395,0.2
42243.831407,0.1
42243.831419,0.1
42243.831430,0.4
42243.831442,0.1
42243.831454,0.1
42243.831465,0.1
42243.831477,0.4
42243.831488,0.2
42243.831500,0.2
42243.831512,0.3
42243.831523,11.3
42243.831535,25.0
42243.831547,24.7
42243.831558,24.8
42243.831570,24.0
42243.831581,0.2
42243.831593,0.1
42243.831605,0.1
42243.831616,2.2
42243.831628,4.7
42243.831639,0.1
42243.831651,0.1
42243.831663,0.2
42243.831674,0.1
42243.831686,0.3
42243.831697,0.4
42243.831709,1.6
42243.831721,26.8
42243.831732,24.2
42243.831744,25.2
42243.831755,24.4
42243.831767,17.7
42243.831779,0.1
42243.831790,0.2
42243.831802,0.3
42243.831813,0.4
42243.831825,0.3
42243.831837,0.3
42243.831848,0.2
42243.831860,7.9
42243.831871,0.6
42243.831883,0.6
42243.831895,0.2
42243.831906,12.4
42243.831918,31.3
42243.831929,39.1
42243.831941,28.2
42243.831953,26.0
42243.831964,6.2
42243.831976,0.1
42243.831987,0.2
42243.831999,0.1
42243.832011,0.3
42243.832022,0.1
42243.832034,0.3
42243.832045,0.2
42243.832057,0.4
42243.832069,0.2
42243.832080,0.1
42243.832092,0.2
42243.832103,0.1
42243.832115,0.1
42243.832126,0.2
42243.832138,0.1
42243.832150,0.1
42243.832161,0.1
42243.832173,0.2
42243.832185,0.1
42243.832196,0.1
42243.832208,0.1
42243.832219,0.4
42243.832231,0.2
42243.832242,0.2
42243.832254,0.1
42243.832266,0.4
42243.832277,0.1
42243.832289,0.2
42243.832300,0.6
42243.832312,4.5
42243.832324,0.2
42243.832335,0.1
42243.832347,0.2
42243.832358,20.9
42243.832370,24.9
42243.832382,25.3
42243.832393,25.5
42243.832405,14.6
42243.832417,1.8
42243.832428,0.1
42243.832440,0.1
42243.832451,0.5
42243.832463,0.2
42243.832475,0.2
42243.832486,0.3
42243.832498,0.4
42243.832509,0.1
42243.832521,0.1
42243.832533,0.2
42243.832544,11.4
42243.832556,24.5
42243.832567,24.8
42243.832579,24.8
42243.832591,24.9
42243.832602,0.2
42243.832614,0.1
42243.832626,0.1
42243.832637,0.5
42243.832649,0.1
42243.832660,0.1
42243.832672,0.1
42243.832684,0.4
42243.832695,0.2
42243.832707,0.1
42243.832719,0.1
42243.832730,1.6
42243.832742,25.1
42243.832753,25.2
42243.832765,24.8
42243.832776,24.6
42243.832788,9.4
42243.832800,0.1
42243.832811,0.2
42243.832823,0.1
42243.832835,1.8
42243.832846,0.2
42243.832858,0.1
42243.832869,0.7
42243.832881,1.8
42243.832893,0.2
42243.832904,0.7
42243.832916,0.1
42243.832927,18.2
42243.832939,24.7
42243.832950,24.9
42243.832962,24.6
42243.832974,16.6
42243.832985,0.9
42243.832997,0.1
42243.833009,0.1
42243.833020,0.4
42243.833032,0.3
42243.833043,0.2
42243.833055,0.1
42243.833067,0.7
42243.833078,0.1
42243.833090,0.1
42243.833102,0.2
42243.833113,10.8
42243.833125,24.9
42243.833136,24.9
42243.833148,26.2
42243.833160,23.7
42243.833171,0.2
42243.833183,0.2
42243.833194,0.2
42243.833206,1.8
42243.833218,2.9
42243.833229,0.2
42243.833241,0.1
42243.833252,0.3
42243.833264,0.1
42243.833276,0.1
42243.833287,0.2
42243.833299,2.0
42243.833310,24.0
42243.833322,24.6
42243.833334,24.6
42243.833345,21.9
42243.833357,17.0
42243.833369,0.4
42243.833380,0.2
42243.833392,0.3
42243.833403,0.4
42243.833415,0.2
42243.833426,0.2
42243.833438,0.2
42243.833450,0.3
42243.833461,0.2
42243.833473,0.3
42243.833484,0.2
42243.833496,8.9
42243.833508,24.8
42243.833519,23.8
42243.833531,24.3
42243.833542,24.1
42243.833554,11.0
42243.833566,0.2
42243.833577,0.1
42243.833589,0.2
42243.833600,0.3
42243.833612,0.5
42243.833624,12.1
42243.833635,0.1
42243.833647,0.5
42243.833659,0.1
42243.833670,0.1
42243.833682,0.1
42243.833693,14.3
42243.833705,23.5
42243.833717,25.7
42243.833728,30.6
42243.833740,24.4
42243.833751,6.4
42243.833763,0.1
42243.833775,0.1
42243.833786,0.1
42243.833798,0.4
42243.833809,0.3
42243.833821,0.2
42243.833833,0.2
42243.833844,0.3
42243.833856,0.1
42243.833867,0.1
42243.833985,0.1
42243.834066,0.1
42243.834156,8.5
42243.834168,23.3
42243.834179,31.7
42243.834191,25.3
42243.834203,0.5
42243.834214,0.1
42243.834226,0.1
42243.834237,0.3
42243.834249,0.1
42243.834261,0.1
42243.834272,0.1
42243.834284,0.3
42243.834295,0.2
42243.834307,0.1
42243.834319,0.1
42243.834330,1.0
42243.834342,24.3
42243.834353,25.0
42243.834365,24.4
42243.834377,24.2
42243.834388,11.5
42243.834400,0.2
42243.834412,0.1
42243.834423,0.2
42243.834435,0.9
42243.834446,0.1
42243.834458,0.1
42243.834470,0.1
42243.834481,0.3
42243.834493,0.1
42243.834504,0.2
42243.834516,0.2
42243.834528,13.1
42243.834539,23.9
42243.834551,24.3
42243.834562,24.5
42243.834574,23.9
42243.834586,5.8
42243.834597,0.1
42243.834609,0.1
42243.834621,0.1
42243.834632,0.4
42243.834644,0.1
42243.834655,0.1
42243.834667,0.1
42243.834679,2.9
42243.834690,0.5
42243.834702,1.3
42243.834713,0.1
42243.834725,24.3
42243.834737,24.7
42243.834748,24.0
42243.834760,23.9
42243.834771,17.1
42243.834783,0.2
42243.834795,0.2
42243.834806,0.6
42243.834818,2.4
42243.834829,0.3
42243.834841,0.2
42243.834853,0.1
42243.834864,0.3
42243.834876,0.2
42243.834888,0.6
42243.834899,0.2
42243.834966,19.4
42243.835027,0.1
42243.835143,9.4
42243.835154,16.4
42243.835216,0.1
42243.835303,4.0
42243.835315,22.2
42243.835326,22.5
42243.835338,24.1
42243.835349,16.5
42243.835361,0.1
42243.835373,0.1
42243.835384,0.4
42243.835396,0.2
42243.835408,0.3
42243.835419,0.1
42243.835431,0.1
42243.835442,0.3
42243.835454,0.1
42243.835466,0.1
42243.835477,0.1
42243.835489,9.6
42243.835500,25.0
42243.835512,24.4
42243.835524,24.4
42243.835535,25.0
42243.835547,2.4
42243.835559,0.1
42243.835570,0.1
42243.835582,0.1
42243.835593,0.3
42243.835605,0.1
42243.835617,0.1
42243.835628,0.1
42243.835640,0.6
42243.835651,0.1
42243.835663,0.1
42243.835675,0.1
42243.835686,0.1
42243.835698,0.1
42243.835710,0.6
42243.835721,0.1
42243.835733,0.1
42243.835744,0.1
42243.835756,0.1
42243.835768,0.1
42243.835779,0.1
42243.835791,0.1
42243.835803,1.3
42243.835814,0.2
42243.835826,0.2
42243.835837,0.1
42243.835849,0.4
42243.835861,0.1
42243.835872,0.1
42243.835884,0.1
42243.835895,0.4
42243.835907,0.1
42243.835918,0.1
42243.835930,0.1
42243.835942,23.9
42243.836002,16.4
42243.836095,0.1
42243.836174,15.9
42243.836241,0.1
42243.836357,9.7
42243.836369,12.7
42243.836427,0.4
42243.836554,10.0
42243.836578,0.1
42243.836670,0.1
42243.836748,16.1
42243.836809,0.1
42243.836936,9.8
42243.836952,0.1
42243.837044,0.1
42243.837130,15.1
42243.837191,0.1
42243.837318,9.9
42243.837333,0.1
42243.837426,0.1
42243.837542,0.1
42243.837575,0.1
42243.837634,0.1
42243.837762,9.9
42243.837781,0.1
42243.837874,0.1
42243.837954,16.0
42243.838016,0.1
42243.838133,8.8
42243.838144,22.0
42243.838210,0.1
42243.838337,10.1
42243.838352,0.1
42243.838445,0.1
42243.838532,14.5
42243.838592,0.1
42243.838719,10.0
42243.838734,0.1
42243.838827,0.1
42243.838910,15.7
42243.838974,0.1
42243.839101,10.0
42243.839116,0.1
42243.839209,0.1
42243.839325,0.1
42243.839359,0.2
42243.839425,0.1
42243.839436,0.1
42243.839448,0.2
42243.839460,0.1
42243.839471,0.1
42243.839483,0.1
42243.839495,3.9
42243.839506,24.7
42243.839518,24.9
42243.839529,24.9
42243.839541,24.8
