UUV3,UUV4,UUV5,UUV6
1.9250,6.0853,41.1649,402.0120
1.9563,5.9197,41.2363,402.0120
1.9330,5.6776,41.1604,425.5667
1.9296,5.7073,41.2626,402.0120
1.9190,5.7630,42.9754,425.5667
1.9181,5.6906,41.8153,435.0516
1.9090,5.7703,41.8446,400.8560
1.9397,5.6537,41.4587,400.8560
1.9139,5.6316,41.0151,425.5667
1.9673,5.6024,41.5220,435.0516
