
real	6m49.530s
user	6m44.949s
sys	0m4.894s

real	7m2.429s
user	6m49.371s
sys	0m4.734s

real	7m9.596s
user	6m53.684s
sys	0m6.204s

real	6m48.777s
user	6m41.775s
sys	0m4.485s

real	6m52.953s
user	6m49.038s
sys	0m4.597s

real	6m56.620s
user	6m49.646s
sys	0m4.650s

real	6m44.016s
user	6m45.071s
sys	0m4.296s

real	6m37.908s
user	6m39.079s
sys	0m4.093s

real	6m47.077s
user	6m48.516s
sys	0m5.108s

real	6m57.802s
user	6m52.974s
sys	0m5.226s

real	7m0.029s
user	6m51.641s
sys	0m5.635s

real	6m57.420s
user	6m49.676s
sys	0m5.235s

real	6m52.280s
user	6m50.127s
sys	0m4.641s

real	6m45.175s
user	6m45.428s
sys	0m4.697s

real	6m47.227s
user	6m44.942s
sys	0m4.959s

real	6m49.370s
user	6m46.927s
sys	0m4.950s

real	6m56.481s
user	6m47.331s
sys	0m5.122s

real	6m49.098s
user	6m46.089s
sys	0m5.243s

real	6m37.462s
user	6m39.627s
sys	0m3.877s

real	6m59.039s
user	6m52.667s
sys	0m5.088s

real	6m50.684s
user	6m46.058s
sys	0m4.876s

real	6m38.644s
user	6m38.104s
sys	0m4.575s

real	6m36.635s
user	6m37.743s
sys	0m3.537s

real	6m30.230s
user	6m35.557s
sys	0m2.893s

real	6m26.580s
user	6m32.818s
sys	0m2.775s

real	6m43.462s
user	6m48.771s
sys	0m3.973s

real	7m9.593s
user	7m12.431s
sys	0m6.116s

real	7m2.096s
user	7m7.827s
sys	0m5.695s

real	6m58.578s
user	7m4.273s
sys	0m5.722s

real	6m59.996s
user	6m55.536s
sys	0m5.595s

real	6m44.890s
user	6m45.635s
sys	0m4.037s

real	6m39.533s
user	6m40.877s
sys	0m3.606s

real	6m39.091s
user	6m41.035s
sys	0m3.644s

real	7m1.725s
user	7m2.058s
sys	0m4.912s

real	7m2.658s
user	7m6.470s
sys	0m5.793s
