Time,CPU Usage
42243.852182,13.7
42243.852194,1.1
42243.852206,0.4
42243.852217,1.8
42243.852229,0.4
42243.852240,0.9
42243.852252,0.5
42243.852264,0.8
42243.852275,51.9
42243.852287,56.2
42243.852298,35.9
42243.852310,26.7
42243.852322,31.6
42243.852333,28.2
42243.852345,23.7
42243.852356,26.2
42243.852368,25.0
42243.852380,25.3
42243.852391,24.2
42243.852403,23.0
42243.852414,38.6
42243.852427,30.6
42243.852437,33.9
42243.852449,24.7
42243.852461,27.3
42243.852472,24.0
42243.852484,24.5
42243.852496,24.2
42243.852507,25.0
42243.852519,30.0
42243.852530,24.3
42243.852542,24.3
42243.852554,25.1
42243.852565,23.9
42243.852577,25.0
42243.852588,28.6
42243.852600,24.5
42243.852611,25.0
42243.852739,24.5
42243.852775,25.6
42243.852840,2.0
42243.852951,13.9
42243.852962,24.6
42243.852974,24.5
42243.852986,25.8
42243.852997,24.2
42243.853009,24.1
42243.853020,25.2
42243.853032,24.9
42243.853044,29.1
42243.853055,29.3
42243.853067,24.0
42243.853078,25.6
42243.853090,29.2
42243.853102,24.1
42243.853113,24.4
42243.853125,24.6
42243.853137,25.8
42243.853148,23.7
42243.853160,24.0
42243.853171,25.5
42243.853183,24.9
42243.853195,24.5
42243.853206,25.0
42243.853218,24.0
42243.853229,24.9
42243.853241,24.4
42243.853253,23.5
42243.853264,23.4
42243.853276,19.9
42243.853287,23.8
42243.853299,21.9
42243.853311,23.7
42243.853322,24.7
42243.853334,24.0
42243.853345,23.7
42243.853357,23.4
42243.853369,23.8
42243.853380,23.5
42243.853392,24.2
42243.853403,22.9
42243.853415,20.4
42243.853427,0.1
42243.853438,0.1
42243.853450,0.2
42243.853461,0.3
42243.853473,0.3
42243.853485,0.2
42243.853496,0.2
42243.853508,5.2
42243.853519,0.1
42243.853531,0.2
42243.853543,0.2
42243.853554,15.4
42243.853566,23.2
42243.853577,23.7
42243.853589,23.7
42243.853601,24.5
42243.853612,29.9
42243.853624,27.7
42243.853635,23.7
42243.853647,24.1
42243.853659,24.4
42243.853786,24.6
42243.853914,24.5
42243.853994,23.5
42243.854037,22.9
42243.854102,0.2
42243.854142,0.3
42243.854170,0.1
42243.854220,23.7
42243.854232,23.1
42243.854243,25.4
42243.854255,24.5
42243.854266,24.5
42243.854278,24.4
42243.854290,25.2
42243.854301,24.7
42243.854313,25.0
42243.854324,22.9
42243.854336,23.8
42243.854348,24.2
42243.854359,24.5
42243.854371,24.5
42243.854382,23.9
42243.854394,25.0
42243.854406,24.4
42243.854417,24.2
42243.854429,24.9
42243.854440,24.1
42243.854452,24.2
42243.854464,24.1
42243.854475,24.6
42243.854487,24.7
