
real	0m45.095s
user	0m50.454s
sys	0m1.512s

real	0m45.429s
user	0m49.232s
sys	0m1.539s

real	0m43.629s
user	0m48.600s
sys	0m1.297s

real	0m44.019s
user	0m48.686s
sys	0m1.371s

real	0m44.034s
user	0m49.352s
sys	0m1.399s

real	0m45.499s
user	0m51.144s
sys	0m1.472s

real	0m44.359s
user	0m48.617s
sys	0m1.338s

real	0m43.727s
user	0m48.960s
sys	0m1.371s

real	0m43.902s
user	0m48.631s
sys	0m1.323s

real	0m44.432s
user	0m49.613s
sys	0m1.358s

real	0m44.823s
user	0m48.452s
sys	0m1.489s

real	0m44.121s
user	0m49.834s
sys	0m1.449s

real	0m46.230s
user	0m51.237s
sys	0m1.580s

real	0m44.809s
user	0m48.925s
sys	0m1.406s

real	0m44.166s
user	0m49.435s
sys	0m1.411s

real	0m43.292s
user	0m48.547s
sys	0m1.302s

real	0m45.043s
user	0m48.643s
sys	0m1.460s

real	0m44.392s
user	0m49.677s
sys	0m1.385s

real	0m43.807s
user	0m48.891s
sys	0m1.408s

real	0m45.211s
user	0m50.239s
sys	0m1.475s

real	0m45.180s
user	0m51.185s
sys	0m1.531s

real	0m44.316s
user	0m50.198s
sys	0m1.455s

real	0m44.008s
user	0m49.770s
sys	0m1.326s

real	0m44.386s
user	0m47.973s
sys	0m1.330s

real	0m46.783s
user	0m50.391s
sys	0m1.615s

real	0m45.898s
user	0m51.210s
sys	0m1.646s

real	0m45.413s
user	0m51.170s
sys	0m1.463s

real	0m44.889s
user	0m50.682s
sys	0m1.517s

real	0m45.137s
user	0m49.919s
sys	0m1.556s

real	0m44.507s
user	0m49.704s
sys	0m1.493s

real	0m45.279s
user	0m49.600s
sys	0m1.501s

real	0m44.641s
user	0m48.461s
sys	0m1.412s

real	0m45.315s
user	0m50.388s
sys	0m1.565s

real	0m45.797s
user	0m51.013s
sys	0m1.566s

real	0m44.583s
user	0m48.801s
sys	0m1.456s

real	0m44.055s
user	0m49.083s
sys	0m1.405s

real	0m44.568s
user	0m49.456s
sys	0m1.469s

real	0m45.092s
user	0m50.775s
sys	0m1.567s

real	0m44.765s
user	0m50.184s
sys	0m1.471s

real	0m44.793s
user	0m49.277s
sys	0m1.434s

real	0m45.364s
user	0m50.868s
sys	0m1.488s

real	0m44.424s
user	0m48.288s
sys	0m1.424s

real	0m44.518s
user	0m47.982s
sys	0m1.501s

real	0m45.266s
user	0m50.182s
sys	0m1.596s

real	0m45.304s
user	0m51.024s
sys	0m1.633s

real	0m44.895s
user	0m48.743s
sys	0m1.484s

real	0m44.810s
user	0m49.584s
sys	0m1.484s

real	0m45.584s
user	0m50.510s
sys	0m1.509s

real	0m44.555s
user	0m48.628s
sys	0m1.454s

real	0m44.122s
user	0m48.026s
sys	0m1.399s

real	0m44.971s
user	0m50.771s
sys	0m1.497s

real	0m44.876s
user	0m50.512s
sys	0m1.517s

real	0m44.575s
user	0m49.123s
sys	0m1.511s

real	0m44.802s
user	0m49.371s
sys	0m1.448s

real	0m45.387s
user	0m50.439s
sys	0m1.434s

real	0m44.652s
user	0m49.553s
sys	0m1.442s

real	0m45.244s
user	0m51.079s
sys	0m1.594s

real	0m44.794s
user	0m50.338s
sys	0m1.525s

real	0m45.546s
user	0m51.087s
sys	0m1.587s

real	0m44.297s
user	0m49.840s
sys	0m1.416s

real	0m44.450s
user	0m49.505s
sys	0m1.429s

real	0m46.159s
user	0m51.685s
sys	0m1.551s

real	0m44.510s
user	0m49.100s
sys	0m1.406s

real	0m46.391s
user	0m50.689s
sys	0m1.687s

real	0m45.195s
user	0m50.175s
sys	0m1.567s

real	0m46.161s
user	0m49.557s
sys	0m1.562s

real	0m45.439s
user	0m49.863s
sys	0m1.483s

real	0m44.770s
user	0m49.325s
sys	0m1.427s

real	0m45.141s
user	0m49.588s
sys	0m1.443s

real	0m44.397s
user	0m48.537s
sys	0m1.356s
